# BH-FRW Full Evolution Sandbox v0.3
# log10(M/Msun)=22.5
# Om=0.3, Or=0.0001, H0=70
# log10(Ec2)=10, dTau=0.001, maxSteps=200000
# mode=QUANTUM, stopAtBounce=true
# OmegaL0=6.674188e-1, OmegaK=0.032481
# tau_today=0.954000 (where a=1)
# t_today_Gyr=13.326
# back_reason=bounce_boundary_reached, fwd_reason=a_stop_reached
# tau=0 at bounce; tau=tau_today at a=1 (today); tau increases into future
# ---
tau,a,E,E2_over_Ec2,mode
2.36000000e-1,3.40759621e-1,2.92171913e+0,8.53644270e-10,1
2.37000000e-1,3.41754691e-1,2.91010230e+0,8.46869539e-10,1
2.38000000e-1,3.42748703e-1,2.89858568e+0,8.40179893e-10,1
2.39000000e-1,3.43741665e-1,2.88716801e+0,8.33573912e-10,1
2.40000000e-1,3.44733584e-1,2.87584806e+0,8.27050208e-10,1
2.41000000e-1,3.45724468e-1,2.86462462e+0,8.20607420e-10,1
2.42000000e-1,3.46714326e-1,2.85349648e+0,8.14244214e-10,1
2.43000000e-1,3.47703165e-1,2.84246246e+0,8.07959285e-10,1
2.44000000e-1,3.48690993e-1,2.83152142e+0,8.01751355e-10,1
2.45000000e-1,3.49677818e-1,2.82067221e+0,7.95619170e-10,1
2.46000000e-1,3.50663647e-1,2.80991370e+0,7.89561503e-10,1
2.47000000e-1,3.51648487e-1,2.79924481e+0,7.83577151e-10,1
2.48000000e-1,3.52632348e-1,2.78866444e+0,7.77664936e-10,1
2.49000000e-1,3.53615235e-1,2.77817153e+0,7.71823704e-10,1
2.50000000e-1,3.54597156e-1,2.76776502e+0,7.66052322e-10,1
2.51000000e-1,3.55578118e-1,2.75744389e+0,7.60349680e-10,1
2.52000000e-1,3.56558130e-1,2.74720711e+0,7.54714693e-10,1
2.53000000e-1,3.57537197e-1,2.73705369e+0,7.49146293e-10,1
2.54000000e-1,3.58515327e-1,2.72698264e+0,7.43643435e-10,1
2.55000000e-1,3.59492528e-1,2.71699300e+0,7.38205095e-10,1
2.56000000e-1,3.60468805e-1,2.70708380e+0,7.32830269e-10,1
2.57000000e-1,3.61444167e-1,2.69725410e+0,7.27517971e-10,1
2.58000000e-1,3.62418619e-1,2.68750299e+0,7.22267235e-10,1
2.59000000e-1,3.63392170e-1,2.67782956e+0,7.17077113e-10,1
2.60000000e-1,3.64364825e-1,2.66823289e+0,7.11946677e-10,1
2.61000000e-1,3.65336591e-1,2.65871212e+0,7.06875014e-10,1
2.62000000e-1,3.66307475e-1,2.64926637e+0,7.01861231e-10,1
2.63000000e-1,3.67277484e-1,2.63989479e+0,6.96904449e-10,1
2.64000000e-1,3.68246623e-1,2.63059653e+0,6.92003809e-10,1
2.65000000e-1,3.69214901e-1,2.62137076e+0,6.87158466e-10,1
2.66000000e-1,3.70182322e-1,2.61221666e+0,6.82367590e-10,1
2.67000000e-1,3.71148894e-1,2.60313344e+0,6.77630370e-10,1
2.68000000e-1,3.72114623e-1,2.59412029e+0,6.72946006e-10,1
2.69000000e-1,3.73079515e-1,2.58517643e+0,6.68313716e-10,1
2.70000000e-1,3.74043576e-1,2.57630109e+0,6.63732731e-10,1
2.71000000e-1,3.75006813e-1,2.56749352e+0,6.59202295e-10,1
2.72000000e-1,3.75969232e-1,2.55875296e+0,6.54721669e-10,1
2.73000000e-1,3.76930839e-1,2.55007867e+0,6.50290125e-10,1
2.74000000e-1,3.77891639e-1,2.54146994e+0,6.45906948e-10,1
2.75000000e-1,3.78851640e-1,2.53292605e+0,6.41571438e-10,1
2.76000000e-1,3.79810846e-1,2.52444629e+0,6.37282905e-10,1
2.77000000e-1,3.80769265e-1,2.51602996e+0,6.33040675e-10,1
2.78000000e-1,3.81726901e-1,2.50767638e+0,6.28844084e-10,1
2.79000000e-1,3.82683760e-1,2.49938488e+0,6.24692478e-10,1
2.80000000e-1,3.83639849e-1,2.49115479e+0,6.20585217e-10,1
2.81000000e-1,3.84595173e-1,2.48298545e+0,6.16521673e-10,1
2.82000000e-1,3.85549738e-1,2.47487621e+0,6.12501228e-10,1
2.83000000e-1,3.86503550e-1,2.46682645e+0,6.08523274e-10,1
2.84000000e-1,3.87456613e-1,2.45883553e+0,6.04587215e-10,1
2.85000000e-1,3.88408935e-1,2.45090282e+0,6.00692465e-10,1
2.86000000e-1,3.89360519e-1,2.44302773e+0,5.96838448e-10,1
2.87000000e-1,3.90311372e-1,2.43520964e+0,5.93024599e-10,1
2.88000000e-1,3.91261500e-1,2.42744796e+0,5.89250361e-10,1
2.89000000e-1,3.92210907e-1,2.41974211e+0,5.85515188e-10,1
2.90000000e-1,3.93159599e-1,2.41209151e+0,5.81818543e-10,1
2.91000000e-1,3.94107581e-1,2.40449558e+0,5.78159899e-10,1
2.92000000e-1,3.95054859e-1,2.39695377e+0,5.74538736e-10,1
2.93000000e-1,3.96001438e-1,2.38946551e+0,5.70954544e-10,1
2.94000000e-1,3.96947323e-1,2.38203027e+0,5.67406823e-10,1
2.95000000e-1,3.97892520e-1,2.37464751e+0,5.63895080e-10,1
2.96000000e-1,3.98837033e-1,2.36731669e+0,5.60418829e-10,1
2.97000000e-1,3.99780868e-1,2.36003728e+0,5.56977595e-10,1
2.98000000e-1,4.00724029e-1,2.35280877e+0,5.53570909e-10,1
2.99000000e-1,4.01666522e-1,2.34563064e+0,5.50198311e-10,1
3.00000000e-1,4.02608352e-1,2.33850240e+0,5.46859347e-10,1
3.01000000e-1,4.03549524e-1,2.33142354e+0,5.43553572e-10,1
3.02000000e-1,4.04490043e-1,2.32439357e+0,5.40280549e-10,1
3.03000000e-1,4.05429913e-1,2.31741202e+0,5.37039846e-10,1
3.04000000e-1,4.06369140e-1,2.31047839e+0,5.33831039e-10,1
3.05000000e-1,4.07307728e-1,2.30359222e+0,5.30653711e-10,1
3.06000000e-1,4.08245682e-1,2.29675304e+0,5.27507454e-10,1
3.07000000e-1,4.09183007e-1,2.28996040e+0,5.24391862e-10,1
3.08000000e-1,4.10119708e-1,2.28321383e+0,5.21306539e-10,1
3.09000000e-1,4.11055790e-1,2.27651289e+0,5.18251095e-10,1
3.10000000e-1,4.11991257e-1,2.26985714e+0,5.15225146e-10,1
3.11000000e-1,4.12926113e-1,2.26324615e+0,5.12228313e-10,1
3.12000000e-1,4.13860364e-1,2.25667947e+0,5.09260224e-10,1
3.13000000e-1,4.14794014e-1,2.25015669e+0,5.06320514e-10,1
3.14000000e-1,4.15727068e-1,2.24367739e+0,5.03408822e-10,1
3.15000000e-1,4.16659530e-1,2.23724114e+0,5.00524793e-10,1
3.16000000e-1,4.17591404e-1,2.23084755e+0,4.97668079e-10,1
3.17000000e-1,4.18522696e-1,2.22449620e+0,4.94838337e-10,1
3.18000000e-1,4.19453409e-1,2.21818671e+0,4.92035227e-10,1
3.19000000e-1,4.20383548e-1,2.21191866e+0,4.89258417e-10,1
3.20000000e-1,4.21313118e-1,2.20569168e+0,4.86507580e-10,1
3.21000000e-1,4.22242123e-1,2.19950538e+0,4.83782394e-10,1
3.22000000e-1,4.23170566e-1,2.19335938e+0,4.81082539e-10,1
3.23000000e-1,4.24098454e-1,2.18725331e+0,4.78407705e-10,1
3.24000000e-1,4.25025789e-1,2.18118679e+0,4.75757583e-10,1
3.25000000e-1,4.25952576e-1,2.17515946e+0,4.73131870e-10,1
3.26000000e-1,4.26878819e-1,2.16917096e+0,4.70530268e-10,1
